"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"containers","Noun","Plural","Lower","No","No","Yes","19"
"images","Noun","Plural","Lower","No","No","Yes","11"
"json","Noun","Singular","Lower","No","No","No","5"
"exec","Verb","Singular","Lower","No","No","Yes","4"
"start","Verb","Singular","Lower","No","No","Yes","2"
"resize","Verb","Singular","Lower","No","No","Yes","2"
"get","Verb","Singular","Lower","No","No","Yes","2"
"create","Verb","Singular","Lower","No","No","Yes","2"
"wait","Verb","Singular","Lower","No","No","Yes","1"
"version","Noun","Singular","Lower","No","No","Yes","1"
"unpause","Verb","Singular","Lower","No","No","Yes","1"
"top","Noun","Singular","Lower","No","No","Yes","1"
"tag","Verb","Singular","Lower","No","No","Yes","1"
"stop","Verb","Singular","Lower","No","No","Yes","1"
"search","Verb","Singular","Lower","No","No","Yes","1"
"restart","Verb","Singular","Lower","No","No","Yes","1"
"push","Verb","Singular","Lower","No","No","Yes","1"
"pause","Verb","Singular","Lower","No","No","Yes","1"
"logs","Noun","Plural","Lower","No","No","Yes","1"
"load","Verb","Singular","Lower","No","No","Yes","1"
"kill","Verb","Singular","Lower","No","No","Yes","1"
"info","Noun","Singular","Lower","No","No","Yes","1"
"history","Noun","Singular","Lower","No","No","Yes","1"
"export","Verb","Singular","Lower","No","No","Yes","1"
"events","Noun","Plural","Lower","No","No","Yes","1"
"copy","Verb","Singular","Lower","No","No","Yes","1"
"commit","Verb","Singular","Lower","No","No","Yes","1"
"changes","Noun","Plural","Lower","No","No","Yes","1"
"build","Verb","Singular","Lower","No","No","Yes","1"
"auth","Verb","Singular","Lower","No","No","Yes","1"
"attach","Verb","Singular","Lower","No","No","Yes","1"
"_ping","Noun","Singular","Lower","Yes","No","No","1"
