"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"projects","Noun","Plural","Lower","No","No","Yes","727"
"compute","Noun","Singular","Lower","No","No","Yes","288"
"global","Noun","Singular","Lower","No","No","Yes","142"
"instances","Noun","Plural","Lower","No","No","Yes","113"
"zones","Noun","Plural","Lower","No","No","Yes","110"
"regions","Noun","Plural","Lower","No","No","Yes","93"
"operations","Noun","Plural","Lower","No","No","Yes","70"
"locations","Noun","Plural","Lower","No","No","Yes","59"
"services","Noun","Plural","Lower","No","No","Yes","47"
"storage","Noun","Singular","Lower","No","No","Yes","46"
"b","Noun","Singular","Lower","No","No","No","46"
"sql","Noun","Singular","Lower","No","No","Yes","40"
"jobs","Noun","Plural","Lower","No","No","Yes","38"
"clusters","Noun","Plural","Lower","No","No","Yes","36"
"databases","Noun","Plural","Lower","No","No","Yes","29"
"sinks","Noun","Plural","Lower","No","No","Yes","24"
"instanceGroupManagers","Noun","Plural","Camel","No","No","Yes","23"
"datasets","Noun","Plural","Lower","No","No","Yes","23"
"keyRings","Noun","Plural","Camel","No","No","Yes","22"
"o","Noun","Singular","Lower","No","No","No","21"
"bigquery","Noun","Singular","Lower","No","No","Yes","21"
"apps","Noun","Plural","Lower","No","No","Yes","21"
"transferConfigs","Verb","Plural","Camel","No","No","Yes","20"
"aggregated","Noun","Singular","Lower","No","No","Yes","20"
"folders","Noun","Plural","Lower","No","No","Yes","19"
"deploymentmanager","Verb","Singular","Lower","No","No","Yes","18"
"vm_beta","Noun","Singular","Lower","Yes","No","Yes","17"
"clouduseraccounts","Noun","Plural","Lower","No","No","Yes","17"
"cancel","Verb","Singular","Lower","No","No","Yes","17"
"cryptoKeys","Noun","Plural","Camel","No","No","Yes","16"
"users","Noun","Plural","Lower","No","No","Yes","15"
"testIamPermissions","Verb","Plural","Camel","No","No","Yes","15"
"setIamPolicy","Verb","Singular","Camel","No","No","Yes","15"
"roles","Noun","Plural","Lower","No","No","Yes","15"
"getIamPolicy","Verb","Singular","Camel","No","No","Yes","15"
"deployments","Noun","Plural","Lower","No","No","Yes","15"
"backendServices","Noun","Plural","Camel","No","No","Yes","15"
"versions","Noun","Plural","Lower","No","No","Yes","14"
"tables","Noun","Plural","Lower","No","No","Yes","14"
"serviceAccounts","Noun","Plural","Camel","No","No","Yes","14"
"organizations","Noun","Plural","Lower","No","No","Yes","14"
"groups","Noun","Plural","Lower","No","No","Yes","14"
"instanceGroups","Noun","Plural","Camel","No","No","Yes","13"
"autoscalers","Noun","Plural","Lower","No","No","Yes","13"
"subscriptions","Noun","Plural","Lower","No","No","Yes","12"
"models","Noun","Plural","Lower","No","No","Yes","12"
"acl","Noun","Singular","Lower","No","No","Yes","12"
"targetPools","Noun","Plural","Camel","No","No","Yes","11"
"search","Verb","Singular","Lower","No","No","Yes","11"
"resourceviews","Noun","Plural","Lower","No","No","Yes","11"
"forwardingRules","Noun","Plural","Camel","No","No","Yes","11"
"billingAccounts","Noun","Plural","Camel","No","No","Yes","11"
"sessions","Noun","Plural","Lower","No","No","Yes","10"
"topics","Noun","Plural","Lower","No","No","Yes","9"
"routers","Noun","Plural","Lower","No","No","Yes","9"
"resourceViews","Noun","Plural","Camel","No","No","Yes","9"
"nodePools","Noun","Plural","Camel","No","No","Yes","9"
"dns","Noun","Plural","Lower","No","No","Yes","9"
"addresses","Noun","Plural","Lower","No","No","Yes","9"
"urlMaps","Noun","Plural","Camel","No","No","Yes","8"
"runs","Noun","Plural","Lower","No","No","Yes","8"
"prediction","Noun","Singular","Lower","No","No","Yes","8"
"managedZones","Noun","Plural","Camel","No","No","Yes","8"
"logs","Noun","Plural","Lower","No","No","Yes","8"
"images","Noun","Plural","Lower","No","No","Yes","8"
"disks","Noun","Plural","Lower","No","No","Yes","8"
"debuggees","Noun","Plural","Lower","No","No","Yes","8"
"variants","Noun","Plural","Lower","No","No","Yes","7"
"trainedmodels","Noun","Plural","Lower","No","No","Yes","7"
"targetSslProxies","Noun","Plural","Camel","No","No","Yes","7"
"subnetworks","Noun","Plural","Lower","No","No","Yes","7"
"snapshots","Noun","Plural","Lower","No","No","Yes","7"
"readgroupsets","Verb","Plural","Lower","No","No","Yes","7"
"networks","Noun","Plural","Lower","No","No","Yes","7"
"metrics","Noun","Plural","Lower","No","No","Yes","7"
"inspect","Verb","Singular","Lower","No","No","Yes","7"
"variantsets","Noun","Plural","Lower","No","No","Yes","6"
"transferOperations","Verb","Plural","Camel","No","No","Yes","6"
"templates","Noun","Plural","Lower","No","No","Yes","6"
"targetTcpProxies","Noun","Plural","Camel","No","No","Yes","6"
"targetHttpsProxies","Noun","Plural","Camel","No","No","Yes","6"
"iam","Noun","Singular","Lower","No","No","Yes","6"
"httpsHealthChecks","Noun","Plural","Camel","No","No","Yes","6"
"httpHealthChecks","Noun","Plural","Camel","No","No","Yes","6"
"healthChecks","Noun","Plural","Camel","No","No","Yes","6"
"firewalls","Noun","Plural","Lower","No","No","Yes","6"
"defaultObjectAcl","Noun","Singular","Camel","No","No","Yes","6"
"dataSources","Noun","Plural","Camel","No","No","Yes","6"
"cryptoKeyVersions","Noun","Plural","Camel","No","No","Yes","6"
"breakpoints","Noun","Plural","Lower","No","No","Yes","6"
"backendBuckets","Noun","Plural","Camel","No","No","Yes","6"
"annotations","Noun","Plural","Lower","No","No","Yes","6"
"vpnTunnels","Noun","Plural","Camel","No","No","Yes","5"
"undelete","Verb","Singular","Lower","No","No","Yes","5"
"triggers","Verb","Plural","Lower","No","No","Yes","5"
"translate","Noun","Singular","Lower","No","No","Yes","5"
"targetVpnGateways","Noun","Plural","Camel","No","No","Yes","5"
"targetInstances","Noun","Plural","Camel","No","No","Yes","5"
"targetHttpProxies","Noun","Plural","Camel","No","No","Yes","5"
"language","Noun","Singular","Lower","No","No","Yes","5"
"debugger","Noun","Singular","Lower","No","No","Yes","5"
"debug","Verb","Singular","Lower","No","No","Yes","5"
"callsets","Noun","Plural","Lower","No","No","Yes","5"
"annotationsets","Noun","Plural","Lower","No","No","Yes","5"
"workItems","Noun","Plural","Camel","No","No","Yes","4"
"transferJobs","Verb","Plural","Camel","No","No","Yes","4"
"traces","Noun","Plural","Lower","No","No","Yes","4"
"sslCerts","Noun","Plural","Camel","No","No","Yes","4"
"sslCertificates","Noun","Plural","Camel","No","No","Yes","4"
"setLabels","Verb","Plural","Camel","No","No","Yes","4"
"routes","Noun","Plural","Lower","No","No","Yes","4"
"notificationConfigs","Noun","Plural","Camel","No","No","Yes","4"
"metricDescriptors","Noun","Plural","Camel","No","No","Yes","4"
"keys","Noun","Plural","Lower","No","No","Yes","4"
"instanceTemplates","Noun","Plural","Camel","No","No","Yes","4"
"documents","Noun","Plural","Lower","No","No","Yes","4"
"configs","Noun","Plural","Lower","No","No","Yes","4"
"commitments","Noun","Plural","Lower","No","No","Yes","4"
"builds","Verb","Plural","Lower","No","No","Yes","4"
"backupRuns","Noun","Plural","Camel","No","No","Yes","4"
"stop","Verb","Singular","Lower","No","No","Yes","3"
"sshPublicKeys","Noun","Plural","Camel","No","No","Yes","3"
"rollouts","Noun","Plural","Lower","No","No","Yes","3"
"rollback","Verb","Singular","Lower","No","No","Yes","3"
"resources","Noun","Plural","Lower","No","No","Yes","3"
"resize","Verb","Singular","Lower","No","No","Yes","3"
"references","Noun","Plural","Lower","No","No","Yes","3"
"predict","Verb","Singular","Lower","No","No","Yes","3"
"monitoredResourceDescriptors","Noun","Plural","Camel","No","No","Yes","3"
"machineTypes","Noun","Plural","Camel","No","No","Yes","3"
"import","Verb","Singular","Lower","No","No","Yes","3"
"getHealth","Verb","Singular","Camel","No","No","Yes","3"
"getConfig","Verb","Singular","Camel","No","No","Yes","3"
"export","Verb","Singular","Lower","No","No","Yes","3"
"events","Noun","Plural","Lower","No","No","Yes","3"
"diskTypes","Noun","Plural","Camel","No","No","Yes","3"
"controller","Noun","Singular","Lower","No","No","Yes","3"
"consumers","Noun","Plural","Lower","No","No","Yes","3"
"changes","Noun","Plural","Lower","No","No","Yes","3"
"acceleratorTypes","Noun","Plural","Camel","No","No","Yes","3"
"transferLogs","Verb","Plural","Camel","No","No","Yes","2"
"timeSeries","Noun","Plural","Camel","No","No","Yes","2"
"testPermissions","Verb","Plural","Camel","No","No","Yes","2"
"submit","Verb","Singular","Lower","No","No","Yes","2"
"speech","Noun","Singular","Lower","No","No","Yes","2"
"setUrlMap","Verb","Singular","Camel","No","No","Yes","2"
"setTargetPools","Verb","Plural","Camel","No","No","Yes","2"
"setTarget","Verb","Singular","Camel","No","No","Yes","2"
"setSslCertificates","Verb","Plural","Camel","No","No","Yes","2"
"setProxyHeader","Verb","Singular","Camel","No","No","Yes","2"
"setNamedPorts","Verb","Plural","Camel","No","No","Yes","2"
"setInstanceTemplate","Verb","Singular","Camel","No","No","Yes","2"
"setEnabled","Verb","Singular","Camel","No","No","Yes","2"
"setBackendService","Verb","Singular","Camel","No","No","Yes","2"
"sendCapture","Verb","Singular","Camel","No","No","Yes","2"
"scheduleRuns","Verb","Plural","Camel","No","No","Yes","2"
"rootCategories","Noun","Plural","Camel","No","No","Yes","2"
"reportStatus","Verb","Plural","Camel","No","No","Yes","2"
"report","Verb","Singular","Lower","No","No","Yes","2"
"referencesets","Noun","Plural","Lower","No","No","Yes","2"
"recreateInstances","Verb","Plural","Camel","No","No","Yes","2"
"queries","Noun","Plural","Lower","No","No","Yes","2"
"messages","Noun","Plural","Lower","No","No","Yes","2"
"manifests","Noun","Plural","Lower","No","No","Yes","2"
"listManagedInstances","Verb","Plural","Camel","No","No","Yes","2"
"listInstances","Verb","Plural","Camel","No","No","Yes","2"
"list","Verb","Singular","Lower","No","No","Yes","2"
"lease","Verb","Singular","Lower","No","No","Yes","2"
"launch","Verb","Singular","Lower","No","No","Yes","2"
"isEnabled","Verb","Singular","Camel","No","No","Yes","2"
"instanceConfigs","Noun","Plural","Camel","No","No","Yes","2"
"get","Verb","Singular","Lower","No","No","Yes","2"
"entries","Noun","Plural","Lower","No","No","Yes","2"
"enable","Verb","Singular","Lower","No","No","Yes","2"
"disable","Verb","Singular","Lower","No","No","Yes","2"
"detect","Verb","Singular","Lower","No","No","Yes","2"
"deleteInstances","Verb","Plural","Camel","No","No","Yes","2"
"ddl","Noun","Singular","Lower","No","No","Yes","2"
"content","Noun","Singular","Lower","No","No","Yes","2"
"commit","Verb","Singular","Lower","No","No","Yes","2"
"checkValidCreds","Verb","Plural","Camel","No","No","Yes","2"
"billingInfo","Noun","Singular","Camel","No","No","Yes","2"
"beginTransaction","Verb","Singular","Camel","No","No","Yes","2"
"annotate","Verb","Singular","Lower","No","No","Yes","2"
"abandonInstances","Verb","Plural","Camel","No","No","Yes","2"
"WorkerMessages","Noun","Plural","Camel","No","No","Yes","2"
"write","Verb","Singular","Lower","No","No","Yes","1"
"watch","Verb","Singular","Lower","No","No","Yes","1"
"videos","Noun","Plural","Lower","No","No","Yes","1"
"validate","Verb","Singular","Lower","No","No","Yes","1"
"updatePrimaryVersion","Verb","Singular","Camel","No","No","Yes","1"
"update","Verb","Singular","Lower","No","No","Yes","1"
"types","Noun","Plural","Lower","No","No","Yes","1"
"truncateLog","Verb","Singular","Camel","No","No","Yes","1"
"tiers","Noun","Plural","Lower","No","No","Yes","1"
"switchToCustomMode","Verb","Singular","Camel","No","No","Yes","1"
"streamingRead","Verb","Singular","Camel","No","No","Yes","1"
"stopReplica","Verb","Singular","Camel","No","No","Yes","1"
"startWithEncryptionKey","Verb","Singular","Camel","No","No","Yes","1"
"startReplica","Verb","Singular","Camel","No","No","Yes","1"
"startReconciliation","Verb","Singular","Camel","No","No","Yes","1"
"startIpRotation","Verb","Singular","Camel","No","No","Yes","1"
"start","Verb","Singular","Lower","No","No","Yes","1"
"spans","Noun","Plural","Lower","No","No","Yes","1"
"skus","Noun","Plural","Lower","No","No","Yes","1"
"signJwt","Verb","Singular","Camel","No","No","Yes","1"
"signBlob","Verb","Singular","Camel","No","No","Yes","1"
"setUsageExportBucket","Verb","Singular","Camel","No","No","Yes","1"
"setTags","Verb","Plural","Camel","No","No","Yes","1"
"setSize","Verb","Singular","Camel","No","No","Yes","1"
"setServiceAccount","Verb","Singular","Camel","No","No","Yes","1"
"setService","Verb","Singular","Camel","No","No","Yes","1"
"setScheduling","Verb","Singular","Camel","No","No","Yes","1"
"setPrivateIpGoogleAccess","Verb","Singular","Camel","No","No","Yes","1"
"setNetworkPolicy","Verb","Singular","Camel","No","No","Yes","1"
"setMetadata","Verb","Singular","Camel","No","No","Yes","1"
"setMasterAuth","Verb","Singular","Camel","No","No","Yes","1"
"setManagement","Verb","Singular","Camel","No","No","Yes","1"
"setMachineType","Verb","Singular","Camel","No","No","Yes","1"
"setMachineResources","Verb","Plural","Camel","No","No","Yes","1"
"setDiskAutoDelete","Verb","Singular","Camel","No","No","Yes","1"
"setDefault","Verb","Singular","Camel","No","No","Yes","1"
"setCommonInstanceMetadata","Verb","Singular","Camel","No","No","Yes","1"
"setBackup","Verb","Singular","Camel","No","No","Yes","1"
"set","Verb","Singular","Lower","No","No","Yes","1"
"serviceAccount","Noun","Singular","Camel","No","No","Yes","1"
"serverconfig","Noun","Singular","Lower","No","No","Yes","1"
"serialPort","Noun","Singular","Camel","No","No","Yes","1"
"runQuery","Verb","Singular","Camel","No","No","Yes","1"
"rrsets","Noun","Plural","Lower","No","No","Yes","1"
"rewriteTo","Noun","Singular","Camel","No","No","Yes","1"
"resume","Verb","Singular","Lower","No","No","Yes","1"
"results","Noun","Plural","Lower","No","No","Yes","1"
"restoreBackup","Verb","Singular","Camel","No","No","Yes","1"
"restore","Verb","Singular","Lower","No","No","Yes","1"
"restart","Verb","Singular","Lower","No","No","Yes","1"
"resourceLabels","Noun","Plural","Camel","No","No","Yes","1"
"resetSslConfig","Verb","Singular","Camel","No","No","Yes","1"
"reset","Verb","Singular","Lower","No","No","Yes","1"
"repair","Verb","Singular","Lower","No","No","Yes","1"
"removeResources","Verb","Plural","Camel","No","No","Yes","1"
"removePublicKey","Verb","Singular","Camel","No","No","Yes","1"
"removePeering","Verb","Singular","Camel","No","No","Yes","1"
"removeMember","Verb","Singular","Camel","No","No","Yes","1"
"removeInstances","Verb","Plural","Camel","No","No","Yes","1"
"removeInstance","Verb","Singular","Camel","No","No","Yes","1"
"removeHealthCheck","Verb","Singular","Camel","No","No","Yes","1"
"releaseQuota","Verb","Singular","Camel","No","No","Yes","1"
"register","Verb","Singular","Lower","No","No","Yes","1"
"redact","Verb","Singular","Lower","No","No","Yes","1"
"recognize","Verb","Singular","Lower","No","No","Yes","1"
"reads","Verb","Plural","Lower","No","No","Yes","1"
"read","Verb","Singular","Lower","No","No","Yes","1"
"queryTestablePermissions","Verb","Plural","Camel","No","No","Yes","1"
"queryGrantableRoles","Verb","Plural","Camel","No","No","Yes","1"
"pull","Verb","Singular","Lower","No","No","Yes","1"
"publish","Verb","Singular","Lower","No","No","Yes","1"
"promoteReplica","Verb","Singular","Camel","No","No","Yes","1"
"preview","Verb","Singular","Lower","No","No","Yes","1"
"permissions","Noun","Plural","Lower","No","No","Yes","1"
"pause","Verb","Singular","Lower","No","No","Yes","1"
"moveInstance","Verb","Singular","Camel","No","No","Yes","1"
"moveDisk","Verb","Singular","Camel","No","No","Yes","1"
"move","Verb","Singular","Lower","No","No","Yes","1"
"monitoring","Noun","Singular","Lower","No","No","Yes","1"
"modifyPushConfig","Verb","Singular","Camel","No","No","Yes","1"
"modifyColumnFamilies","Verb","Plural","Camel","No","No","Yes","1"
"modifyAckDeadline","Verb","Singular","Camel","No","No","Yes","1"
"merge","Verb","Singular","Lower","No","No","Yes","1"
"members","Noun","Plural","Lower","No","No","Yes","1"
"master","Noun","Singular","Lower","No","No","Yes","1"
"lookup","Verb","Singular","Lower","No","No","Yes","1"
"longrunningrecognize","Verb","Singular","Lower","No","No","Yes","1"
"loginProfile","Noun","Singular","Camel","No","No","Yes","1"
"logging","Noun","Singular","Lower","No","No","Yes","1"
"listXpnHosts","Verb","Plural","Camel","No","No","Yes","1"
"listSpans","Verb","Plural","Camel","No","No","Yes","1"
"linuxAccountViews","Noun","Plural","Camel","No","No","Yes","1"
"licenses","Noun","Plural","Lower","No","No","Yes","1"
"legacyAbac","Noun","Singular","Camel","No","No","Yes","1"
"languages","Noun","Plural","Lower","No","No","Yes","1"
"invalidateCache","Verb","Singular","Camel","No","No","Yes","1"
"insertAll","Verb","Singular","Camel","No","No","Yes","1"
"infoTypes","Noun","Plural","Camel","No","No","Yes","1"
"importSshPublicKey","Verb","Singular","Camel","No","No","Yes","1"
"hostedmodels","Noun","Plural","Lower","No","No","Yes","1"
"groupStats","Noun","Plural","Camel","No","No","Yes","1"
"googleServiceAccounts","Noun","Plural","Camel","No","No","Yes","1"
"getXpnResources","Verb","Plural","Camel","No","No","Yes","1"
"getXpnHost","Verb","Singular","Camel","No","No","Yes","1"
"getService","Verb","Singular","Camel","No","No","Yes","1"
"getRouterStatus","Verb","Plural","Camel","No","No","Yes","1"
"generateConfigReport","Verb","Singular","Camel","No","No","Yes","1"
"flags","Noun","Plural","Lower","No","No","Yes","1"
"findings","Verb","Plural","Lower","No","No","Yes","1"
"family","Noun","Singular","Lower","No","No","Yes","1"
"failover","Verb","Singular","Lower","No","No","Yes","1"
"expandIpCidrRange","Verb","Singular","Camel","No","No","Yes","1"
"executeStreamingSql","Verb","Singular","Camel","No","No","Yes","1"
"executeSql","Verb","Singular","Camel","No","No","Yes","1"
"endReconciliation","Verb","Singular","Camel","No","No","Yes","1"
"encrypt","Verb","Singular","Lower","No","No","Yes","1"
"enableXpnResource","Verb","Singular","Camel","No","No","Yes","1"
"enableXpnHost","Verb","Singular","Camel","No","No","Yes","1"
"dropRowRange","Noun","Singular","Camel","No","No","Yes","1"
"disableXpnResource","Verb","Singular","Camel","No","No","Yes","1"
"disableXpnHost","Verb","Singular","Camel","No","No","Yes","1"
