"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"apps","Noun","Plural","Lower","No","No","Yes","26"
"ps","Noun","Plural","Lower","No","No","Yes","5"
"addons","Noun","Plural","Lower","No","No","Yes","5"
"user","Noun","Singular","Lower","No","No","Yes","3"
"releases","Noun","Plural","Lower","No","No","Yes","3"
"keys","Noun","Plural","Lower","No","No","Yes","3"
"config_vars","Noun","Plural","Lower","Yes","No","Yes","3"
"stack","Noun","Singular","Lower","No","No","Yes","2"
"domains","Noun","Plural","Lower","No","No","Yes","2"
"collaborators","Noun","Plural","Lower","No","No","Yes","2"
"stop","Verb","Singular","Lower","No","No","Yes","1"
"scale","Verb","Singular","Lower","No","No","Yes","1"
"restart","Verb","Singular","Lower","No","No","Yes","1"
"logs","Noun","Plural","Lower","No","No","Yes","1"
