"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"1.0","Noun","Singular","Camel","No","No","No","4229"
"telephony","Noun","Singular","Lower","No","No","Yes","575"
"order","Noun","Singular","Lower","No","No","Yes","545"
"dedicatedCloud","Verb","Singular","Camel","No","No","Yes","451"
"dedicated","Verb","Singular","Lower","No","No","Yes","360"
"price","Noun","Singular","Lower","No","No","Yes","343"
"email","Noun","Singular","Lower","No","No","Yes","338"
"domain","Noun","Singular","Lower","No","No","Yes","253"
"me","Noun","Singular","Lower","No","No","Yes","245"
"hosting","Noun","Singular","Lower","No","No","Yes","229"
"server","Noun","Singular","Lower","No","No","Yes","220"
"service","Noun","Singular","Lower","No","No","Yes","202"
"license","Noun","Singular","Lower","No","No","Yes","188"
"xdsl","Noun","Singular","Lower","No","No","Yes","185"
"exchange","Noun","Singular","Lower","No","No","Yes","173"
"filer","Noun","Singular","Lower","No","No","Yes","167"
"cloud","Noun","Singular","Lower","No","No","Yes","161"
"host","Noun","Singular","Lower","No","No","Yes","160"
"cart","Noun","Singular","Lower","No","No","Yes","160"
"dbaas","Noun","Plural","Lower","No","No","Yes","152"
"monthly","Noun","Singular","Lower","No","No","Yes","150"
"hourly","Noun","Singular","Lower","No","No","Yes","150"
"ip","Noun","Singular","Lower","No","No","Yes","144"
"infrastructure","Noun","Singular","Lower","No","No","Yes","144"
"enterprise","Noun","Singular","Lower","No","No","Yes","144"
"web","Noun","Singular","Lower","No","No","Yes","141"
"serviceInfos","Noun","Plural","Camel","No","No","Yes","136"
"vps","Noun","Plural","Lower","No","No","Yes","131"
"ipLoadbalancing","Noun","Singular","Camel","No","No","Yes","131"
"sms","Noun","Plural","Lower","No","No","Yes","127"
"hunting","Noun","Singular","Lower","No","No","Yes","127"
"project","Noun","Singular","Lower","No","No","Yes","123"
"account","Noun","Singular","Lower","No","No","Yes","123"
"task","Noun","Singular","Lower","No","No","Yes","120"
"logs","Noun","Plural","Lower","No","No","Yes","117"
"ovhPabx","Noun","Singular","Camel","No","No","Yes","104"
"paas","Noun","Plural","Lower","No","No","Yes","99"
"database","Noun","Singular","Lower","No","No","Yes","99"
"cdn","Noun","Singular","Lower","No","No","Yes","96"
"line","Noun","Singular","Lower","No","No","Yes","88"
"queue","Noun","Singular","Lower","No","No","Yes","86"
"options","Noun","Plural","Lower","No","No","Yes","81"
"user","Noun","Singular","Lower","No","No","Yes","80"
"easyHunting","Noun","Singular","Camel","No","No","Yes","79"
"sbg1a","Noun","Singular","Lower","No","No","Yes","76"
"rbx2a","Noun","Singular","Lower","No","No","Yes","76"
"bhs1a","Noun","Singular","Lower","No","No","Yes","76"
"agent","Noun","Singular","Lower","No","No","Yes","74"
"zone","Noun","Singular","Lower","No","No","Yes","73"
"rbx2b","Noun","Singular","Lower","No","No","Yes","72"
"new","Noun","Singular","Lower","No","No","Yes","71"
"pack","Noun","Singular","Lower","No","No","Yes","67"
"privateDatabase","Noun","Singular","Camel","No","No","Yes","66"
"instance","Noun","Singular","Lower","No","No","Yes","65"
"vrack","Noun","Singular","Lower","No","No","Yes","57"
"pro","Noun","Singular","Lower","No","No","Yes","55"
