"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"child","Noun","Singular","Lower","No","No","Yes","3914"
"rest","Noun","Singular","Lower","No","No","No","430"
"api","Noun","Singular","Lower","No","No","No","374"
"contacts","Noun","Plural","Lower","No","No","Yes","312"
"opportunities","Noun","Plural","Lower","No","No","Yes","294"
"services","Noun","Plural","Lower","No","No","Yes","284"
"instances","Noun","Plural","Lower","No","No","Yes","257"
"activities","Noun","Plural","Lower","No","No","Yes","251"
"ofscCore","Noun","Singular","Camel","No","No","Yes","248"
"partners","Noun","Plural","Lower","No","No","Yes","241"
"accounts","Noun","Plural","Lower","No","No","Yes","238"
"paas","Noun","Plural","Lower","No","No","Yes","206"
".search","Noun","Singular","Lower","No","No","Yes","202"
"households","Noun","Plural","Lower","No","No","Yes","201"
"ccadmin","Noun","Singular","Lower","No","No","Yes","181"
"Note","Noun","Singular","Camel","No","No","Yes","170"
"leads","Noun","Plural","Lower","No","No","Yes","166"
"batch","Noun","Singular","Lower","No","No","Yes","162"
"merchant","Noun","Singular","Lower","No","No","Yes","150"
"emps","Noun","Plural","Lower","No","No","Yes","150"
"Address","Noun","Plural","Camel","No","No","Yes","150"
"instancemgmt","Noun","Singular","Lower","No","No","Yes","148"
"serviceRequests","Noun","Plural","Camel","No","No","Yes","147"
"setupSalesCatalogs","Verb","Plural","Camel","No","No","Yes","145"
"projects","Noun","Plural","Lower","No","No","Yes","144"
"workOrders","Noun","Plural","Camel","No","No","Yes","132"
"connect","Noun","Singular","Lower","No","No","Yes","130"
"assets","Noun","Plural","Lower","No","No","Yes","128"
"files","Noun","Plural","Lower","No","No","Yes","124"
"deals","Noun","Plural","Lower","No","No","Yes","121"
"products","Noun","Plural","Lower","No","No","Yes","116"
"resources","Noun","Plural","Lower","No","No","Yes","115"
"Users","Noun","Plural","Camel","No","No","Yes","110"
"spaces","Noun","Plural","Lower","No","No","Yes","98"
"shipments","Noun","Plural","Lower","No","No","Yes","98"
"apps","Noun","Plural","Lower","No","No","Yes","96"
"users","Noun","Plural","Lower","No","No","Yes","92"
"orders","Noun","Plural","Lower","No","No","Yes","92"
"lightboxDocuments","Noun","Plural","Camel","No","No","Yes","90"
"messages","Noun","Plural","Lower","No","No","Yes","88"
"data","Noun","Singular","Lower","No","No","Yes","84"
"project","Noun","Singular","Lower","No","No","Yes","80"
"paymentTransactions","Noun","Plural","Camel","No","No","Yes","80"
