"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"api","Noun","Singular","Lower","No","No","No","1383"
"4.0","Noun","Singular","Camel","No","No","No","265"
"suite-api","Noun","Singular","Lower","No","Yes","Yes","243"
"config","Noun","Singular","Lower","No","No","Yes","233"
"2.0","Noun","Singular","Camel","No","No","No","208"
"edges","Noun","Plural","Lower","No","No","Yes","207"
"identity","Noun","Singular","Lower","No","No","Yes","187"
"tenants","Noun","Plural","Lower","No","No","Yes","165"
"vco","Noun","Singular","Lower","No","No","Yes","159"
"services","Noun","Plural","Lower","No","No","Yes","154"
"types","Noun","Plural","Lower","No","No","Yes","142"
"advanced-designer-service","Noun","Singular","Lower","No","Yes","Yes","141"
"catalog-service","Noun","Singular","Lower","No","Yes","Yes","127"
"schema","Noun","Singular","Lower","No","No","Yes","123"
"appliance","Noun","Singular","Lower","No","No","Yes","109"
"data-service","Noun","Singular","Lower","No","Yes","Yes","108"
"resources","Noun","Plural","Lower","No","No","Yes","103"
"vcenter","Noun","Singular","Lower","No","No","Yes","95"
"authorization","Noun","Singular","Lower","No","No","Yes","93"
"content","Noun","Singular","Lower","No","No","Yes","90"
"permissions","Noun","Plural","Lower","No","No","Yes","88"
"composition-service","Noun","Singular","Lower","No","Yes","Yes","86"
"vm","Noun","Singular","Lower","No","No","Yes","77"
"requests","Verb","Plural","Lower","No","No","Yes","74"
"firewall","Noun","Singular","Lower","No","No","Yes","72"
"vmware","Noun","Singular","Lower","No","No","Yes","69"
"com","Noun","Singular","Lower","No","No","Yes","69"
"network-service","Noun","Singular","Lower","No","Yes","Yes","65"
"1.0","Noun","Singular","Camel","No","No","No","65"
"groups","Noun","Plural","Lower","No","No","Yes","62"
"hardware","Noun","Singular","Lower","No","No","Yes","60"
"update","Verb","Singular","Lower","No","No","Yes","59"
"sslvpn","Noun","Singular","Lower","No","No","Yes","59"
"users","Noun","Plural","Lower","No","No","Yes","58"
"component-registry","Noun","Singular","Lower","No","Yes","Yes","56"
"consumer","Noun","Singular","Lower","No","No","Yes","54"
"auth","Verb","Singular","Lower","No","No","Yes","54"
"roles","Noun","Plural","Lower","No","No","Yes","53"
"techpreview","Noun","Singular","Lower","No","No","Yes","52"
"forms","Noun","Plural","Lower","No","No","Yes","50"
"reservation-service","Noun","Singular","Lower","No","Yes","Yes","49"
"notifications","Noun","Plural","Lower","No","No","Yes","49"
"workflows","Noun","Plural","Lower","No","No","Yes","48"
"vdn","Noun","Singular","Lower","No","No","Yes","47"
"values","Noun","Plural","Lower","No","No","Yes","46"
"library","Noun","Singular","Lower","No","No","Yes","45"
"approval-service","Noun","Singular","Lower","No","Yes","Yes","45"
"globalroot-0","Noun","Singular","Lower","No","Yes","Yes","44"
"endpoints","Noun","Plural","Lower","No","No","Yes","43"
"item","Noun","Singular","Lower","No","No","Yes","42"
"status","Noun","Plural","Lower","No","No","Yes","41"
"internal","Noun","Singular","Lower","No","No","Yes","41"
"instances","Noun","Plural","Lower","No","No","Yes","39"
"appliance-management","Noun","Singular","Lower","No","Yes","Yes","39"
"principals","Noun","Plural","Lower","No","No","Yes","38"
"reservations","Noun","Plural","Lower","No","No","Yes","37"
"event-broker-service","Noun","Singular","Lower","No","Yes","Yes","37"
"scopes","Noun","Plural","Lower","No","No","Yes","36"
"default","Noun","Singular","Lower","No","No","Yes","36"
"provider","Noun","Singular","Lower","No","No","Yes","35"
"loadbalancer","Verb","Singular","Lower","No","No","Yes","35"
"software-service","Noun","Singular","Lower","No","Yes","Yes","34"
"workitem-service","Noun","Singular","Lower","No","Yes","Yes","32"
"networking","Noun","Singular","Lower","No","No","Yes","32"
"system","Noun","Singular","Lower","No","No","Yes","28"
"providers","Noun","Plural","Lower","No","No","Yes","28"
"notification-service","Noun","Singular","Lower","No","Yes","Yes","28"
"actions","Noun","Plural","Lower","No","No","Yes","28"
"tasks","Noun","Plural","Lower","No","No","Yes","27"
"packages","Noun","Plural","Lower","No","No","Yes","27"
"hierarchy","Noun","Singular","Lower","No","No","Yes","26"
"dlp","Noun","Singular","Lower","No","No","Yes","26"
"vsphere","Noun","Singular","Lower","No","No","Yes","25"
"rules","Noun","Plural","Lower","No","No","Yes","25"
"policy","Noun","Singular","Lower","No","No","Yes","25"
"hosts","Noun","Plural","Lower","No","No","Yes","25"
"policies","Noun","Plural","Lower","No","No","Yes","24"
"vms","Noun","Plural","Lower","No","No","Yes","23"
"networkextension","Noun","Singular","Lower","No","No","Yes","23"
"inventory","Noun","Singular","Lower","No","No","Yes","23"
"deployment","Verb","Singular","Lower","No","No","Yes","23"
"client","Noun","Singular","Lower","No","No","Yes","23"
"catalog","Noun","Singular","Lower","No","No","Yes","23"
"subtenants","Noun","Plural","Lower","No","No","Yes","22"
"servers","Noun","Plural","Lower","No","No","Yes","22"
"categories","Noun","Plural","Lower","No","No","Yes","22"
"directory","Noun","Singular","Lower","No","No","Yes","21"
"catalogItems","Noun","Plural","Camel","No","No","Yes","21"
"adgroups","Noun","Plural","Lower","No","No","Yes","21"
"workitems","Noun","Plural","Lower","No","No","Yes","20"
"upgrades","Verb","Plural","Lower","No","No","Yes","20"
"content-management-service","Noun","Singular","Lower","No","Yes","Yes","20"
"subscriptions","Noun","Plural","Lower","No","No","Yes","19"
"securitygroup","Noun","Singular","Lower","No","No","Yes","19"
"form","Noun","Singular","Lower","No","No","Yes","19"
"executions","Noun","Plural","Lower","No","No","Yes","19"
"agent","Noun","Singular","Lower","No","No","Yes","19"
"stats","Noun","Plural","Lower","No","No","Yes","18"
"properties","Noun","Plural","Lower","No","No","Yes","18"
"list","Verb","Singular","Lower","No","No","Yes","18"
"extensions","Noun","Plural","Lower","No","No","Yes","18"
"datasets","Noun","Plural","Lower","No","No","Yes","18"
"adapterkinds","Noun","Plural","Lower","No","No","Yes","18"
"3.0","Noun","Singular","Camel","No","No","No","18"
"routing","Noun","Singular","Lower","No","No","Yes","17"
"events","Noun","Plural","Lower","No","No","Yes","17"
"deployments","Noun","Plural","Lower","No","No","Yes","17"
"configurations","Noun","Plural","Lower","No","No","Yes","17"
"plugins","Noun","Plural","Lower","No","No","Yes","16"
"management-service","Noun","Singular","Lower","No","Yes","Yes","16"
"dns","Noun","Plural","Lower","No","No","Yes","16"
"blueprints","Noun","Plural","Lower","No","No","Yes","16"
"ai","Noun","Singular","Lower","No","No","Yes","16"
"properties-service","Noun","Singular","Lower","No","Yes","Yes","15"
"endpointsecurity","Verb","Singular","Lower","No","No","Yes","15"
"data","Noun","Singular","Lower","No","No","Yes","15"
"snapshots","Noun","Plural","Lower","No","No","Yes","14"
"server","Noun","Singular","Lower","No","No","Yes","14"
"resourceOperations","Noun","Plural","Camel","No","No","Yes","14"
"presentation","Noun","Singular","Lower","No","No","Yes","14"
"pools","Noun","Plural","Lower","No","No","Yes","14"
"plugin-service","Noun","Singular","Lower","No","Yes","Yes","14"
"vrops","Noun","Plural","Lower","No","No","Yes","13"
"user","Noun","Singular","Lower","No","No","Yes","13"
"truststore","Noun","Singular","Lower","No","No","Yes","13"
"si","Noun","Singular","Lower","No","No","Yes","13"
"scope","Noun","Singular","Lower","No","No","Yes","13"
"info","Noun","Singular","Lower","No","No","Yes","13"
"controller","Noun","Singular","Lower","No","No","Yes","13"
"capabilities","Noun","Plural","Lower","No","No","Yes","13"
"adapters","Noun","Plural","Lower","No","No","Yes","13"
"statistics","Noun","Plural","Lower","No","No","Yes","12"
"security-groups","Noun","Plural","Lower","No","Yes","Yes","12"
"registration","Noun","Singular","Lower","No","No","Yes","12"
"projects","Noun","Plural","Lower","No","No","Yes","12"
"monitoring","Noun","Singular","Lower","No","No","Yes","12"
"event-broker","Noun","Singular","Lower","No","Yes","Yes","12"
"admin","Noun","Singular","Lower","No","No","Yes","12"
"2.1","Noun","Singular","Camel","No","No","No","12"
"source","Noun","Singular","Lower","No","No","Yes","11"
"schema-service","Noun","Singular","Lower","No","Yes","Yes","11"
"recovery","Verb","Singular","Lower","No","No","Yes","11"
"portal-service","Noun","Singular","Lower","No","Yes","Yes","11"
"policytypes","Noun","Plural","Lower","No","No","Yes","11"
"networks","Noun","Plural","Lower","No","No","Yes","11"
